,no.,date,time,source,destination,protocol,length,tcp_retransmission,seq,win,len,mss,ack,flag,source_port,destination_port
174,175,2020-12-01,22:42:38,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,5959
175,176,2020-12-01,22:42:43,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,425
176,177,2020-12-01,22:42:49,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,9500
177,178,2020-12-01,22:42:59,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,14000
178,179,2020-12-01,22:43:04,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,15660
179,180,2020-12-01,22:43:10,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,13456
180,181,2020-12-01,22:43:15,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,1073
181,182,2020-12-01,22:43:21,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,2106
182,183,2020-12-01,22:43:26,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,61532
183,184,2020-12-01,22:43:32,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,497
184,185,2020-12-01,22:43:38,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,2869
185,186,2020-12-02,00:07:39,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,6669
186,187,2020-12-02,00:07:46,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,1433
187,188,2020-12-02,00:07:52,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,4000
188,189,2020-12-02,00:07:57,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,1043
189,190,2020-12-02,00:08:03,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,9575
190,191,2020-12-02,00:08:08,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,32768
191,192,2020-12-02,00:08:14,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,1641
192,193,2020-12-02,00:08:19,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,5825
193,194,2020-12-02,00:08:25,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,9898
194,195,2020-12-02,00:08:30,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,27355
195,196,2020-12-02,00:08:36,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,1583
196,197,2020-12-02,00:08:41,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,6580
197,198,2020-12-02,00:08:47,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,3001
198,199,2020-12-02,00:08:52,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,2190
199,200,2020-12-02,00:08:58,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,49155
200,201,2020-12-02,01:41:14,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,2869
201,202,2020-12-02,01:41:22,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,497
202,203,2020-12-02,01:41:28,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,61532
203,204,2020-12-02,01:41:33,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,2106
204,205,2020-12-02,01:41:39,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36051,1073
205,206,2020-12-02,01:41:44,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36051,13456
206,207,2020-12-02,01:41:50,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,15660
207,208,2020-12-02,01:41:56,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,14000
208,209,2020-12-02,01:42:02,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36051,9500
209,210,2020-12-02,01:42:07,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36051,425
210,211,2020-12-02,01:42:13,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36051,5959
211,212,2020-12-02,01:42:19,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,7496
212,213,2020-12-02,01:42:25,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,1071
213,214,2020-12-02,01:42:30,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,30718
